epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.343,2.41121,3.86379,3.47707,0.00333,1,0.05942,0.01969,2.33087,3.9137,3.85078,2e-05,2e-05,2e-05
2,10.4641,2.06835,3.90543,3.20828,0.00333,1,0.07766,0.02892,2.32055,3.97537,3.73456,5.406e-05,5.406e-05,5.406e-05
3,15.4506,2.1796,3.80386,3.3229,0.00333,1,0.38446,0.12083,2.2771,3.93735,3.42427,8.02e-05,8.02e-05,8.02e-05
4,20.597,2.23988,3.78701,3.21659,0.00333,1,0.54774,0.20651,2.09576,3.83154,2.98118,9.842e-05,9.842e-05,9.842e-05
5,25.5461,2.04101,3.561,2.99941,0.00333,1,0.57643,0.23172,1.97452,3.77051,2.77807,0.00010872,0.00010872,0.00010872
6,30.6135,2.01806,3.75099,2.53235,0.00333,1,0.62932,0.2855,1.84981,3.71927,2.61741,0.0001111,0.0001111,0.0001111
7,35.6269,1.62787,3.34531,2.23929,0.00333,1,0.66771,0.31416,1.65473,3.69241,2.43256,0.00010556,0.00010556,0.00010556
8,40.4973,1.70636,3.63711,2.29902,0.00333,1,0.68077,0.34335,1.49474,3.69582,2.28817,9.21e-05,9.21e-05,9.21e-05
9,45.4462,1.8683,3.54993,2.38127,0.00333,1,0.69665,0.34606,1.46443,3.67234,2.20998,7.072e-05,7.072e-05,7.072e-05
10,50.4994,1.71477,3.4664,2.29596,0.00333,1,0.70653,0.33398,1.44558,3.67323,2.16355,4.142e-05,4.142e-05,4.142e-05
